,head,qa,rel,ans
2095,m.02nxk,who was the real erin brockovich,['people.person.profession'],m.012t_z|m.015cjr|m.01jbr2|m.02hrh1q|m.02n9jv|m.07s467s
2096,m.0sch1,what county is troy il in,['location.hud_county_place.county'],m.0nv99
2097,m.0271_s,what position does mitt romney hold,['government.politician.government_positions_held|government.government_position_held.office_position_or_title'],m.01lk31
2098,m.0152cw,who is country singer jewel married to,['people.person.spouse_s|people.marriage.spouse'],m.0ddjs8
2099,m.07pzc,what movies does tupac act in,['film.actor.film|film.performance.film'],m.02pkz7|m.06974q|m.08dk0b|m.08dk10|m.08w51z|m.0c6vx0|m.0cc2r_|m.0f4nt1
2100,m.0lyj0,where does the appalachian trail run through,['location.location.containedby'],m.02jwvm|m.03rkq_|m.0lm0n
2101,m.0169t,where is burundi located on a map,['base.locations.countries.continent'],m.0dg3n1|m.0dg3n1
2102,m.06qjgc,what clubs has messi played for,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.0276tq4|m.02bh_v|m.096cw_|m.0hvgt
2103,m.0kqrz3,where is merrell shoes headquarters,['organization.organization.headquarters|location.mailing_address.citytown'],m.0v9vb
2104,m.07ssc,who does the uk trade with,['location.statistical_region.places_exported_to|location.imports_and_exports.exported_to'],m.06s_2|m.09c7w0|m.0d060g|m.0j4b|m.0n3g
2105,m.01ct6,what color are the baltimore ravens,['sports.sports_team.colors'],m.019sc|m.01l849|m.083jv|m.09ggk
2106,m.0jm8l,what year did detroit pistons win the championship,['sports.sports_team.championships'],m.07p0zz|m.08x9rj|m.08x9tm
2107,m.02z14n,what does anderson cooper do,['people.person.profession'],m.015cjr|m.01d_h8|m.03gjzk|m.0d1pc|m.0d8qb|m.0kyk
2108,m.03pmk3,what movies did matt bomer play in,['film.actor.film|film.performance.film'],g.11b7k3tft3|m.01262msv|m.06dq4r|m.090fjm|m.0dr_xmk|m.0h63gl9|m.0hyn2x8|m.0nffcbb|m.0ngl265|m.0r8phd0|m.0tlt31w|m.0y4jvvn|m.0yt16nd
2109,m.019f2f,who is ellen bernstein,['people.person.profession'],m.02hrh1q|m.0377kt|m.0d1pc|m.0np9r
2110,m.06c0j,when was reagan inaugurated,['base.inaugurations.inauguration_speaker.inauguration'],m.05bry73|m.05bryb8
2111,m.02mjmr,what kind of education did barack obama have,['people.person.education|education.education.institution'],m.014zws|m.01w5m|m.0265r_n|m.0280qps|m.02d9nr|m.05q2c|m.0nbyhz3
2112,m.042f1,what did james k polk believe in,['people.person.religion'],m.051kv|m.0631_
2113,m.0hzlz,what currency does south africa have,['location.country.currency_used'],m.01rmbs
2114,m.041_y,where did jerome david salinger died,['people.deceased_person.place_of_death'],m.0xk73
2115,m.0d060g,what religions are recognized in canada,['location.statistical_region.religions|location.religion_percentage.religion'],m.05sfs|m.0c8wxp|m.0flw86
2116,m.01q98m,what airport is closest to cancun,['location.location.nearby_airports'],m.05fkzs
2117,m.06tgw,where is somalia located,['base.locations.countries.continent'],m.0dg3n1|m.0150_4|m.0dg3n1
2118,m.04q78,who played lex luthor in the original superman,['film.film_character.portrayed_in_films|film.performance.actor'],m.039bp
2119,m.0jnlm,who is the head coach of the chicago blackhawks,['ice_hockey.hockey_team.coach'],m.03clfy|m.03clfy
2120,m.0d3k14,where was john f kennedy raised,['people.person.place_of_birth'],m.0p9z5
2121,m.0b0kzw,what does kat dennings star in,['film.actor.film|film.performance.film'],m.0125h18g|m.02vq583|m.03cyslc|m.0408m53|m.04cv8_z|m.04gz04|m.05my82g|m.05qpqj6|m.05ztyqq|m.062zjtt|m.06fpsx|m.0811_b|m.0bk6nc|m.0crx4f4|m.0d1tgy|m.0frpxh|m.0gxw7g1|m.0h_cvyh|m.0j9knfv
2122,m.0h2hw,where does volga river start,['geography.river.origin'],m.05ktg3
2123,m.07ylj,what are the major sports played in venezuela,['sports.sports_team_location.teams'],m.03mf9_m|m.03w9ng1|m.03zkr8|m.0kn5hg6
2124,m.01mp_3,what did roger sherman do for a living,['people.person.profession'],m.04gc2|m.0fj9f
2125,m.05fnrp,who does ryan newman race for,['business.sponsored_recipient.sponsorship|business.sponsorship.sponsored_by'],m.05sfff
2126,m.04gqr,what was the political system in libya,['location.country.form_of_government'],m.02tz3y|m.0glnsx
2127,m.019nnl,who plays the voice of lois griffin on family guy,['tv.tv_program.regular_cast|tv.regular_tv_appearance.actor'],m.03jldb
2128,m.0jgd,what the currency in argentina,['location.country.currency_used'],m.024nzm
2129,m.08rm_x,where does eddie bravo teach,['people.person.places_lived|people.place_lived.location'],m.0jbrr
2130,m.053w4,when did michael schumacher win his first title,['base.formula1.formula_1_driver.championship_standing|base.formula1.formula_1_championship_standing.championsip'],m.049hx8
2131,m.0287hgn,where does sally pearson live,['people.person.places_lived|people.place_lived.location'],m.0g4g7
2132,m.0cymln,what college chris paul go to,['people.person.education|education.education.institution'],m.01jq4b
2133,m.04_z1,where is madeira,['base.aareas.schema.administrative_area.administrative_parent'],m.05r4w|m.05r4w|m.05r4w|m.04g96mg|m.05r4w|m.0j_kh1k|m.0j3b
2134,m.02rjg1g,what country is joseph prince from,['people.person.place_of_birth'],m.06t2t
2135,m.0h7x,what do they speak in austria,['location.country.languages_spoken'],m.0140n_|m.01841n|m.02hwyss|m.02ztjwg|m.04306rv|m.06zvd|m.0k0sb|m.0k0sv|m.0k1b|m.04306rv
2136,m.09c7w0,what are major religions in the united states,['location.statistical_region.religions|location.religion_percentage.religion'],m.01lp8|m.03_gx|m.03j6c|m.07w8f|m.092bf5|m.0flw86|m.0kpl
2137,m.07bty,what things did thomas edison invent,['law.inventor.inventions'],m.01cbh9|m.02r0w8q|m.03q9w5j|m.0505x|m.063md|m.0cpk7|m.0d9fkw|m.0xrxw
2138,m.0kbls,where is the sistine chapel by michelangelo,['location.location.containedby'],m.07ytt
2139,m.0358x_,who has played edward quartermaine on general hospital,['tv.tv_program.regular_cast|tv.regular_tv_appearance.actor'],m.0c_996
2140,m.06mzp,what kind of language does switzerland speak,['location.country.languages_spoken'],m.02bjrlw|m.04306rv|m.064_8sq|m.06ctk|m.02bjrlw|m.04306rv|m.064_8sq|m.06ctk
2141,m.0127s7,where is christina aguilera from,['people.person.place_of_birth'],m.0y62n
2142,m.0dclg,what are fun things to do in philadelphia,['travel.travel_destination.tourist_attractions'],m.01_yh5|m.012h3h|m.01h123|m.0246rh|m.0294_l|m.02dqlt|m.02v_wpr|m.02vz87s|m.02xktz|m.03bx8tr|m.03ckb2r|m.03cvd3n|m.04x8mj|m.05ycst|m.06_1bm|m.06lbq9|m.06z_sp5|m.077pcr|m.09qvxj|m.0bhbkg|m.0bhbq9|m.0dl_db|m.0fsw4_|m.0h_9pvw|m.0h7pp7c|m.0jk_ntj|m.0k149_w
2143,m.0443c,where did jackie robinson go to school,['people.person.education|education.education.institution'],m.02gn8s|m.0769_zc|m.084wvj|m.09f2j
2144,m.0558_d,who plays stacey in zoey 101,['tv.tv_program.regular_cast|tv.regular_tv_appearance.actor'],m.0p52s
2145,m.0hqly,who is steven seagal sister,['people.person.sibling_s|people.sibling_relationship.sibling'],m.0lnf232
2146,m.02zjd,where was f scott fitzgerald education,['people.person.education|education.education.institution'],m.023pj6|m.05zl0|m.0fh_my
2147,m.0d060g,on what continent is canada found,['base.locations.countries.continent'],m.059g4|m.059g4|m.07c5l
2148,m.03spz,what is the primary language of israel,['location.country.official_language'],m.03hkp|m.0jzc
2149,m.01qr1_,who is married to jane krakowski,['people.person.spouse_s|people.marriage.spouse'],m.0j0_6d8
2150,m.07r1h,what role did tom cruise play in endless love,['film.actor.film|film.performance.character'],m.02nwdmb
2151,m.0dlwj,where to go in phnom penh cambodia,['travel.travel_destination.tourist_attractions'],m.026462|m.02pjmts|m.085f_0|m.0b74mvg|m.0cbw_y|m.0cbws_|m.0cbww1|m.0cbxfv|m.0gx_53z|m.0lkvv
2152,m.06c0j,what city was ronald reagan born in,['people.person.place_of_birth'],m.0sj7b
2153,m.0jzc,what countries in the world speak arabic,['language.human_language.countries_spoken_in'],m.0161c|m.01z215|m.01z88t|m.01znc_|m.027jk|m.02k54|m.02z62v1|m.03__y|m.035hr8|m.03shp|m.03spz|m.047yc|m.04gqr|m.04hqz|m.04vjh|m.04wgh|m.05l8y|m.0697s|m.06tw8|m.06vbd|m.07dzf|m.07fj_|m.0d05q4|m.0d060g|m.0h3y|m.0h44w|m.0hzlz|m.0j1z8|m.01n6c|m.01z215|m.02khs|m.07fj_
2154,m.05rgl,what 4 states border the pacific ocean,['location.location.adjoin_s|location.adjoining_relationship.adjoins'],m.01n7q|m.05kj_|m.081yw
2155,m.022wr3,what to do in nadi fiji,['travel.travel_destination.tourist_attractions'],m.03cybpb|m.0921g5|m.0934gl|m.094tcx|m.095sm6|m.0jz1q62|m.0jz1q6f|m.0k6xpc5|m.0k6xpst|m.0k6xq19
2156,m.030dr,who is francis bacon and what did he do,['people.person.profession'],g.125_hzb47|m.016fc2|m.02h6fbs|m.06q2q|m.0kyk
2157,m.03_r3,what is the dominant language of jamaica,['location.country.official_language'],m.01428y
2158,m.0hsqf,what is the postcode for seoul south korea,['location.citytown.postal_codes'],m.0cvrg0c
2159,m.0160w,what type of government does the bahamas have,['location.country.form_of_government'],m.018wl5|m.01fpfn|m.01q20
2160,m.097yk7,what university did tony romo go to,['people.person.education|education.education.institution'],m.02zkdz
2161,m.0166b,where is bosnia,['base.locations.countries.continent'],m.02j9z|m.01jjk|m.02j9z|m.02qkt
2162,m.0mgkg,where is amazon based out of,['organization.organization.headquarters|location.mailing_address.citytown'],m.0d9jr
2163,m.018zm2,what team did mike piazza retire with,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.04mjl
2164,m.0d98m,where did robert boyle study,['people.person.education|education.education.institution'],m.0dzbl|m.0ymf1
2165,m.0cns5,what is there to see near the grand canyon,['travel.tourist_attraction.near_travel_destination'],m.01z_xr|m.0cnrr|m.0d35y
2166,m.0lxcw,where does hector camacho live,['people.person.places_lived|people.place_lived.location'],m.0cc56|m.0l_0q
2167,m.01ppq,what language do cyprus speak,['location.country.languages_spoken'],m.012psb|m.02h40lc|m.02hwj5j|m.02hwyss|m.0349s|m.04306rv|m.064_8sq|m.0xrg|m.02hwyss|m.0349s
2168,m.0cpdl2,where does fabio aurelio play,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.019m51
2169,m.034rd,what war did george washington help win,['military.military_commander.military_commands|military.military_command.military_conflict'],m.014pd3|m.014s1b|m.01bh42|m.01g09p|m.01g0dx|m.01gphc|m.01hgpt|m.01jnys|m.01k0s4|m.020_gf|m.0247w9|m.02fmsl|m.02fnwp|m.02g1n3|m.02pjz77|m.04m2k9|m.05b6mx0|m.05f78h|m.062pq1|m.066xwk|m.06bjm|m.06kd6y|m.07h0q2|m.08knpp|m.09r3f|m.0b364c|m.0bxl0n|m.0drwsm9|m.0h42fq|m.0jnh
2170,m.0219kb,where does danny ainge live,['people.person.places_lived|people.place_lived.location'],m.01m2s0|m.02mf7
2171,m.06y3r,what college did steve jobs attend,['people.person.education|education.education.institution'],m.06bw5
2172,m.03d9rk,where was anne frank born,['people.person.place_of_birth'],m.02z0j
2173,m.07_dn,what company did verizon used to be,['organization.organization.spun_off_from|organization.organization_spin_off.parent_company'],m.0dk11j
2174,m.095nx,what team did magic johnson play for,['basketball.basketball_player.player_statistics|basketball.basketball_player_stats.team'],m.0jmk7|m.0jmk7
2175,m.0fbrl,what are the kennedys,['people.family.members'],m.0150p7|m.0194xc|m.01kyns|m.01n4xb|m.01qlg1|m.01w83z|m.01x4d5|m.01y603|m.0202g7|m.020t1x|m.028qh_|m.02f95t|m.02frvc|m.02frws|m.02frx4|m.02frxh|m.02h40b|m.02l5km|m.02l87p|m.02l88c|m.02l8dg|m.02shr7|m.03tryx|m.03ts1h|m.03ts2x|m.03ts5s|m.04f1nm|m.04f1qs|m.04syk4|m.06hx2|m.07b5gj|m.07ydlp5|m.07ydlpp|m.07ydlq2|m.08w6qf|m.0bt9c|m.0d3k14
2176,m.06n8j,where is sarajevo located,['location.location.containedby'],m.0166b|m.021yyx|m.03g99x|m.0gfgdgx
2177,m.0d05w3,what is the official language in china,['location.country.official_language'],m.0653m
2178,m.0bvxv,who does the voice of kitt in knight rider,['tv.tv_program.regular_cast|tv.regular_tv_appearance.actor'],m.0309r1
2179,m.059yj,what teams are left in the nfl,['sports.sports_league.teams|sports.sports_league_participation.team'],m.01c_d|m.01ct6|m.01ddr_|m.01ddrm|m.01ddsc|m.01ddsr|m.01ddt3|m.01jr_f|m.01jr_s|m.01jr9j|m.01jrvs|m.01jrw4|m.01jrww|m.01jrx6|m.01jrxk|m.01jryn|m.01jrz0|m.01jrzc|m.01js03|m.01js0h|m.01js16|m.01js1y|m.01js31|m.01js3f|m.01js45|m.01js4j|m.01js4x|m.01js5y|m.01js6_|m.01js68|m.01js7b|m.01js7p|m.01js80|m.01js8c|m.01js8r|m.01js9f|m.01js9t|m.01jsb4|m.01jsbx|m.01jsc8|m.01jscm|m.01xvb|m.01y3c|m.01y3v|m.01y49|m.025hfj|m.025hfx|m.02896|m.0289q|m.02c_4|m.02n0s5|m.030xrm|m.03b3j|m.03lsq|m.03wnh|m.043vc|m.047mhnr|m.0487_|m.04nmxtk|m.04vn5|m.051q5|m.05g3b|m.05g3v|m.05g49|m.05gg4|m.05l71|m.05tfm|m.05tg3|m.060jft|m.06f2k5d|m.06hcqq|m.06l_dbw|m.06lxrxk|m.06lxvwt|m.06lycgb|m.06lz35s|m.06mp_z5|m.06mp1hm|m.06mp7tp|m.06mpvs8|m.06mpwv_|m.06mq172|m.06rny|m.06rpd|m.06rrsy3|m.06rsr2m|m.06rvwhv|m.06tft9v|m.06tm2c_|m.06vw_65|m.06vw_gf|m.06vw_wb|m.06vw_x7|m.06vwxb3|m.06vwxfc|m.06vwxhp|m.06vwxkr|m.06vwxmr|m.06vwzf5|m.06vx04k|m.06vx0jg|m.06vx0vy|m.06vx115|m.06x76|m.070xg|m.0738cbk|m.0738w43|m.07l24|m.07l2m|m.07xmq9|m.084l5|m.0fb2wm|m.0ws7|m.0wsr
2180,m.060_7,what art movement was pablo picasso part of,['visual_art.visual_artist.associated_periods_or_movements'],m.015r61|m.070vcg|m.071bmq|m.072333|m.073_6|m.07hm5p|m.07pcpz|m.09ff3
2181,m.0271_s,what type of business is mitt romney in,['business.board_member.leader_of|organization.leadership.organization'],m.05tl03
2182,m.02k54,what language do they speak in egyptian,['location.country.languages_spoken'],m.012zfy|m.025rvv7|m.02hx2cr|m.02hxbhg|m.035t_3|m.03wc2kf|m.051bnt|m.0c4chg|m.0jzc
2183,m.059rby,what are historical places in new york,['travel.travel_destination.tourist_attractions'],m.013r41|m.0163ff|m.016p8t|m.016xm_|m.0179bc|m.01kht3|m.01lnd3|m.01nbpn|m.01nq4x|m.01pdsd|m.01pdy0|m.01rs7b|m.01rxnm|m.01rz3c|m.01s7jw|m.01zmd|m.0209mm|m.020nlt|m.021848|m.023r9j|m.026bmdr|m.026kp2|m.02cj9_|m.02gyzc|m.02nd_|m.02nyg|m.02vqw3|m.02zrs|m.037lpb|m.03vgd_|m.0426n1|m.04jpg0f|m.04k2zh|m.051vm6|m.05l9fg|m.06qvwg|m.06w5wh8|m.072p8|m.07jwwf|m.07qdr|m.09c7b|m.09c7v|m.0cjp7w|m.0cv4c|m.0dpk_|m.0ds4dt3|m.0fb18|m.0gfhhy8|m.0hhjk|m.0hrg52m|m.0j_66|m.0mzkb|m.0pnb8|m.0q9h2
2184,m.0j0k,what countries are included in the continent of asia,['base.locations.continents.countries_within'],m.0161c|m.0162b|m.0167v|m.016zwt|m.01c4pv|m.01crd5|m.01xbgx|m.01z215|m.01z88t|m.02lx0|m.03__y|m.03_3d|m.03h64|m.03rk0|m.03ryn|m.03shp|m.03spz|m.047lj|m.047yc|m.04hhv|m.04hqz|m.04thp|m.04ty8|m.04w8f|m.04xn_|m.05b7q|m.05l8y|m.05sb1|m.05v8c|m.0697s|m.06f32|m.06m_5|m.06qd3|m.06t2t|m.06vbd|m.07bxhl|m.07dvs|m.07f1x|m.07t_x|m.09pmkv|m.0d05q4|m.0d05w3|m.0j1z8|m.0jdd|m.0jt3tjf
2185,m.01c7j1,who owns wikimedia foundation,['organization.organization.board_members|organization.organization_board_membership.member'],m.03p3t4c|m.03p3t57|m.04dxr15|m.04dxr5g|m.04f05ys|m.05qt1k|m.09w8jl|m.0hznqfp|m.0l8pk60
2186,m.034rd,what war was george washington president during,['military.military_commander.military_commands|military.military_command.military_conflict'],m.014pd3|m.014s1b|m.01bh42|m.01g09p|m.01g0dx|m.01gphc|m.01hgpt|m.01jnys|m.01k0s4|m.020_gf|m.0247w9|m.02fmsl|m.02fnwp|m.02g1n3|m.02pjz77|m.04m2k9|m.05b6mx0|m.05f78h|m.062pq1|m.066xwk|m.06bjm|m.06kd6y|m.07h0q2|m.08knpp|m.09r3f|m.0b364c|m.0bxl0n|m.0drwsm9|m.0h42fq|m.0jnh
2187,m.04vn5,when did miami dolphins win super bowl,['sports.sports_team.championships'],m.076nd|m.076nr
2188,m.04ykg,what timezone is minnesota in,['location.location.time_zones'],m.02fqwt
2189,m.0dq9wx,where did lauren conrad live,['people.person.places_lived|people.place_lived.location'],m.030qb3t|m.0d6lp|m.0r2gj
2190,m.027b7y9,what bella name her baby,['fictional_universe.fictional_character.children'],m.04gk8n0
2191,m.0jmfb,what is the houston rockets mascot,['sports.sports_team.team_mascot'],m.02qmvfb
2192,m.071vr,what is there fun to do in san diego,['travel.travel_destination.tourist_attractions'],m.01094zpg|m.01v05h|m.02400r|m.028bh_9|m.02pt3vb|m.033zn0|m.03yncwm|m.04c6gj|m.04rfpv|m.06qlyn|m.096pq|m.09f7hq|m.0c8cjw|m.0fnfb4|m.0g4y9s|m.0g72c|m.0gyhsd
2193,m.0jfx1,what movies johnny depp is in,['film.actor.film|film.performance.film'],m.010pd7hh|m.011lzwh3|m.01s3vk|m.01vksx|m.025_5c|m.028f12|m.02kvpf|m.02lxrv|m.02qfnrg|m.02qr8lh|m.02r79_h|m.02t276|m.02wwmhc|m.0306c6|m.034nnw|m.03y0pn|m.03z9585|m.04165w|m.042w0v2|m.047dsy7|m.04jpg2p|m.04lgx5r|m.04pk1f|m.050xxm|m.052q5y|m.056n0f|m.05890x6|m.05nlx4|m.05s077|m.05v38p|m.063dp0|m.06cpd9|m.06lspc|m.06r1z1|m.06v_2g|m.06w99h3|m.08dl83|m.08ll52|m.099vtk|m.09g7vfw|m.09gp2cp|m.09hq9g|m.09v8clw|m.0bmfzxx|m.0bq8tmw|m.0c34mt|m.0ch3dxb|m.0ch3qr1|m.0clh4y|m.0ds11z|m.0dsf7lf|m.0f8j13|m.0fg04|m.0g3zrd|m.0g7nb_|m.0h_dv23|m.0kv5xw|m.0kvd2g|m.0n_hp|m.0sxmx|m.0symg|m.0v8_gw0|m.0w2sx8x|m.0x15942|m.0y4m_xb|m.0y4n1sq
2194,m.0dd3q,where did matthias schleiden do his work,['people.person.employment_history|business.employment_tenure.company'],m.01fy2s
2195,m.01qrf09,what songs does katherine jenkins sing,['music.artist.track_contributions|music.track_contribution.track'],m.0137q7dm|m.019db6x|m.0dt_k5d|m.0dvc1_d|m.0dwf0l4|m.0dxcr7l|m.0dxl9kt|m.0f19nx0|m.0f1d618|m.0f27vgt|m.0f6gq_w|m.0fcnz2q|m.0fd_qhr|m.0nmjh_0|m.0q6ycw3|m.0qcgnh8|m.0ztmg3|m.0ztmgb|m.0ztmhw|m.0ztmj2|m.0ztmj9
2196,m.02b9g4,what is ryan seacrest famous for,['people.person.profession'],m.015cjr|m.01d_h8|m.02hrh1q|m.03gjzk|m.08z956|m.0cbd2|m.0dxtg|m.0dypbr|m.0np9r
2197,m.03_3d,what is the current leader of japan,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.0kfzb
2198,m.03ttl,how much indiana jones movies are there,['film.film_character.portrayed_in_films|film.performance.film'],m.04mcw4|m.0f4yh|m.0h_b6x1|m.0k_9j
2199,m.0gyk6w,what does george soros own,['organization.organization_founder.organizations_founded'],m.01xfs8|m.01xfsm|m.01xfsz|m.0257nv|m.026q3wk|m.02x7ztl|m.02y2n1|m.03jqnf|m.0412s5k|m.043pjr5|m.048h_7|m.04g4w2y|m.04lg6qs|m.04nhs7|m.064pprm|m.0b77zy_|m.0cmf161
2200,m.027rn,what kind of money should i bring to dominican,['location.country.currency_used'],m.04lt7_
2201,m.02k1b,who is the president of ecuador in 2012,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.0h7c_l
2202,m.0wmn,what city became the capital of the assyrian empire,['location.country.capital'],m.02wkmf|m.05fym
2203,m.0_swz,what time zone is maryville tn,['location.location.time_zones'],m.02hcv8
2204,m.015k04,where does frida kahlo live now,['people.person.places_lived|people.place_lived.location'],m.01t8n4|m.04sqj
2205,m.02xmb,who started the federal reserve board,['organization.organization.founders'],m.02yy8|m.03gfcd|m.05n2sf|m.083q7
2206,m.0dpr5f,where did marco rubio go to college,['people.person.education|education.education.institution'],m.0789_z|m.0841x5|m.0blxks|m.0j_sncb|m.0lyjf
2207,m.07hz1,where was emperor tiberius born,['people.person.place_of_birth'],m.06c62
2208,m.06c0j,who did ronald reagan get shot by,['user.dfhuynh.default_domain.assassinated_person.assassination|user.dfhuynh.default_domain.assassination.assassin'],m.01gfrc
2209,m.0r1hb,what county is novato in,['location.hud_county_place.county'],m.0l2hf|m.0l2hf
2210,m.0d3k14,who did president kennedy marry,['people.person.spouse_s|people.marriage.spouse'],m.0h6mq
2211,m.05qg6g,what movies did zoe saldana play in,['film.actor.film|film.performance.film'],m.010kk6fr|m.012z22by|m.01vksx|m.02814fp|m.028b4ys|m.02rrh1w|m.0322yj|m.03mg8qr|m.048qrd|m.04f285v|m.04j08s9|m.04ycptv|m.050jdw|m.056p3k|m.05ldk6|m.05vnln|m.05zrdxt|m.07mqwn|m.07yjndt|m.08jml6|m.08phg9|m.0b6l1st|m.0bth54|m.0crwvd1|m.0ddg_bs|m.0g53spr|m.0gmbk1g|m.0gwqhhn|m.0gxt36r|m.0h37n51|m.0hhqv27|m.0j9pkrn|m.0jwsfxg|m.0ryw0v0|m.0wbjb6l|m.0ynxx40
2212,m.03nm_fh,who does nikki reed play in the movie twilight,['film.actor.film|film.performance.character'],m.02z0n0y|m.02z0n0y
2213,m.0dfyw6,what does matt dallas do now,['people.person.profession'],m.02hrh1q|m.0d1pc
2214,m.0pwb,where was abraham buried,['people.deceased_person.place_of_burial'],m.0jxp0
2215,m.0136p1,what type of cancer did donna summer died from,['people.deceased_person.cause_of_death'],m.04p3w
2216,m.03h31dh,what did jerry sandusky do to the children,['base.crime.convicted_criminal.convictions|base.crime.criminal_conviction.guilty_of'],m.02fl8d|m.0k08b4p
2217,m.0cvy5,where does the jordan river end,['geography.river.mouth'],m.02cnp
2218,m.05tbn,what is the state flower of pennsylvania,['government.governmental_jurisdiction.official_symbols|location.location_symbol_relationship.symbol'],m.04bxc
2219,m.09889g,what school did michael jackson attend,['people.person.education|education.education.institution'],m.06lhpy
2220,m.08cpnf,what does kenya moore do for a living,['people.person.profession'],m.01d_h8|m.02hrh1q|m.0d1pc|m.0kyk
2221,m.02mjmr,what country is barack obama from,['people.person.nationality'],m.09c7w0
2222,m.049fb8r,who was wale signed to,['music.artist.label'],m.01trtc|m.03rhqg|m.05zsdjw|m.073tm9|m.0892fn|m.0dgnk3v|m.0g768
2223,m.05j8c8,who did tyson chandler play for,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.0jm3v|m.0jmcv
2224,m.01rh0w,what character did liv tyler play in lord of the rings,['film.actor.film|film.performance.character'],m.0h1b6
2225,m.0ddqw,who played princess leia in star wars movies,['film.film_character.portrayed_in_films|film.performance.actor'],m.01tnbn|m.01wm357
2226,m.0271_s,when did romney first run for president,['government.politician.election_campaigns'],m.027nhyr
2227,m.0c08y,where was saint joseph from,['people.person.place_of_birth'],m.01cy_
2228,m.09b6zr,what job did george w bush have,['people.person.profession'],m.012t_z|m.01qdsm|m.02hrh1q|m.0fj9f|m.0hltv|m.0kyk
2229,m.06nn1,what are countries in south asia,['location.location.contains'],m.0162b|m.0168b|m.016zwt|m.02hjn|m.03rk0|m.04ty8|m.06m_5|m.07bxhl|m.0bq0p9|m.0dbpy|m.0jdd
2230,m.0261m,where is the caribbean geographically located,['location.location.containedby'],m.02613|m.059g4|m.07c5l
2231,m.09889g,what was the cause of death of michael jackson,['people.deceased_person.cause_of_death'],m.0gg4h
2232,m.07b_l,what is the capital city of texas usa,['location.us_state.capital'],m.0vzm
2233,m.01x73,who won governor in connecticut 2010,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.037j0z
2234,m.06mzp,what is the main language spoken in switzerland,['location.country.languages_spoken'],m.02bjrlw|m.04306rv|m.064_8sq|m.06ctk|m.02bjrlw|m.04306rv|m.064_8sq|m.06ctk
2235,m.0ftxw,what timezone is indianapolis in now,['location.location.time_zones'],m.02hcv8
2236,m.029jpy,what time zone is new england usa in,['location.location.time_zones'],m.02hcv8
2237,m.07_nf,where was the vietnam war located,['time.event.locations'],m.01crd5|m.01xbgx|m.04hhv|m.073q1|m.0g8bw|m.0g970
2238,m.05l8fk,where is aviano air force base located,['location.location.containedby'],m.03rjj
2239,m.05tg3,who is the owner of the philadelphia eagles,['business.employer.employees|business.employment_tenure.person'],m.092dqb|m.092dqb
2240,m.0k6d2,where did giovanni da verrazano live,['people.person.places_lived|people.place_lived.location'],m.01b3jn
2241,m.0pth,what was antonio vivaldi known for,['people.person.profession'],m.012vv0|m.01c72t|m.05xjb
2242,m.0jfx1,what movies does johnny depp play in,['film.actor.film|film.performance.film'],m.010pd7hh|m.011lzwh3|m.01s3vk|m.01vksx|m.025_5c|m.028f12|m.02kvpf|m.02lxrv|m.02qfnrg|m.02qr8lh|m.02r79_h|m.02t276|m.02wwmhc|m.0306c6|m.034nnw|m.03y0pn|m.03z9585|m.04165w|m.042w0v2|m.047dsy7|m.04jpg2p|m.04lgx5r|m.04pk1f|m.050xxm|m.052q5y|m.056n0f|m.05890x6|m.05nlx4|m.05s077|m.05v38p|m.063dp0|m.06cpd9|m.06lspc|m.06r1z1|m.06v_2g|m.06w99h3|m.08dl83|m.08ll52|m.099vtk|m.09g7vfw|m.09gp2cp|m.09hq9g|m.09v8clw|m.0bmfzxx|m.0bq8tmw|m.0c34mt|m.0ch3dxb|m.0ch3qr1|m.0clh4y|m.0ds11z|m.0dsf7lf|m.0f8j13|m.0fg04|m.0g3zrd|m.0g7nb_|m.0h_dv23|m.0kv5xw|m.0kvd2g|m.0n_hp|m.0sxmx|m.0symg|m.0v8_gw0|m.0w2sx8x|m.0x15942|m.0y4m_xb|m.0y4n1sq
2243,m.05tfm,who is the coach of the pittsburgh steelers 2005,['american_football.football_team.historical_coaching_staff|american_football.football_historical_coach_position.coach'],m.04d2_x
2244,m.06vvk,when are the summer olympics held,['time.recurring_event.instances'],m.0130xg|m.016q6p|m.016q75|m.016q7p|m.016r9z|m.018ljb|m.018qb4|m.018wrk|m.03tnk7|m.05gj2h|m.06sks6|m.09x3r|m.0blg2|m.0c_tl|m.0jdk_|m.0jhn7|m.0jkvj|m.0kbvb|m.0kbws|m.0l6m5|m.0l6mp|m.0l6ny|m.0l6vl|m.0l98s|m.0l998|m.0lbbj|m.0lbd9|m.0ldqf|m.0lgxj|m.0lk8j|m.0lv1x|m.0nbjq|m.0sxrz
2245,m.03m8sg,when did mcgee start on ncis,['tv.tv_program.regular_cast|tv.regular_tv_appearance.seasons'],m.05df6zs
2246,m.03gwrmk,what country did the zulu live in,['location.location.containedby'],m.02c59t
2247,m.01vb2,where was president chester arthur born,['people.person.place_of_birth'],m.010jjd
